SN	Pad-value	Protein name (Annotation)
1747	0.313934	>gi|21242529|ref|NP_642111.1| 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine [Xanthomonas axonopodis pv. citri str. 306]
1748	0.215884	>gi|21242530|ref|NP_642112.1| 3-methyl-2-oxobutanoate hydroxymethyltransferase [Xanthomonas axonopodis pv. citri str. 306]
1749	0.254514	>gi|21242531|ref|NP_642113.1| pantoate-beta-alanine ligase [Xanthomonas axonopodis pv. citri str. 306]
1750	0.385524	>gi|21242532|ref|NP_642114.1| aspartate 1-decarboxylase precursor [Xanthomonas axonopodis pv. citri str. 306]
1751	0.251364	>gi|21242533|ref|NP_642115.1| glucose-6-phosphate isomerase [Xanthomonas axonopodis pv. citri str. 306]
1752	0.215073	>gi|21242534|ref|NP_642116.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1753	0.323588	>gi|21242535|ref|NP_642117.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1754	0.834526	>gi|21242536|ref|NP_642118.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1755	0.587015	>gi|21242537|ref|NP_642119.1| alkaline phosphatase [Xanthomonas axonopodis pv. citri str. 306]
1756	0.290601	>gi|21242538|ref|NP_642120.1| glucan 1,4-beta-glucosidase [Xanthomonas axonopodis pv. citri str. 306]
1757	0.234505	>gi|21242539|ref|NP_642121.1| sodium/glucose cotransport protein [Xanthomonas axonopodis pv. citri str. 306]
1758	0.199674	>gi|21242540|ref|NP_642122.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1759	0.513057	>gi|21242541|ref|NP_642123.1| mannan endo-1,4-beta-mannosidase [Xanthomonas axonopodis pv. citri str. 306]
1760	0.146914	>gi|21242542|ref|NP_642124.1| two-component system regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1761	0.360962	>gi|21242543|ref|NP_642125.1| two-component system sensor protein [Xanthomonas axonopodis pv. citri str. 306]
1762	0.138944	>gi|21242544|ref|NP_642126.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1763	0.192141	>gi|21242545|ref|NP_642127.1| phosphatidylglycerophosphatase B-related protein [Xanthomonas axonopodis pv. citri str. 306]
1764	0.177446	>gi|21242546|ref|NP_642128.1| Prop transport protein [Xanthomonas axonopodis pv. citri str. 306]
1765	0.355094	>gi|21242547|ref|NP_642129.1| putative resistance protein [Xanthomonas axonopodis pv. citri str. 306]
1766	0.195457	>gi|21242548|ref|NP_642130.1| integral membrane protein [Xanthomonas axonopodis pv. citri str. 306]
1767	0.162211	>gi|21242549|ref|NP_642131.1| UDP-N-acetylpyruvoylglucosamine reductase [Xanthomonas axonopodis pv. citri str. 306]
1768	0.290631	>gi|21242550|ref|NP_642132.1| dihydroorotate dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
1769	0.376102	>gi|21242551|ref|NP_642133.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1770	0.266314	>gi|21242552|ref|NP_642134.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1771	0.384610	>gi|21242553|ref|NP_642135.1| aldehyde dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
1772	0.207131	>gi|21242554|ref|NP_642136.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1773	0.142697	>gi|21242555|ref|NP_642137.1| HmsR protein [Xanthomonas axonopodis pv. citri str. 306]
1774	0.205314	>gi|21242556|ref|NP_642138.1| HmsF protein [Xanthomonas axonopodis pv. citri str. 306]
1775	0.223490	>gi|21242557|ref|NP_642139.1| HmsH protein [Xanthomonas axonopodis pv. citri str. 306]
1776	0.262233	>gi|21242558|ref|NP_642140.1| outer membrane hemolysin activator protein [Xanthomonas axonopodis pv. citri str. 306]
1777	0.949898	>gi|21242559|ref|NP_642141.1| filamentous haemagglutinin [Xanthomonas axonopodis pv. citri str. 306]
1778	0.897707	>gi|21242560|ref|NP_642142.1| hemagglutinin/hemolysin-related protein [Xanthomonas axonopodis pv. citri str. 306]
1779	0.160599	>gi|21242561|ref|NP_642143.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1780	0.421322	>gi|21242562|ref|NP_642144.1| hemagglutinin; hemolysin-related protein [Xanthomonas axonopodis pv. citri str. 306]
1781	0.386804	>gi|21242563|ref|NP_642145.1| tryptophan-rich sensory protein [Xanthomonas axonopodis pv. citri str. 306]
1782	0.152995	>gi|21242564|ref|NP_642146.1| aspartokinase; homoserine dehydrogenase I [Xanthomonas axonopodis pv. citri str. 306]
1783	0.274170	>gi|21242565|ref|NP_642147.1| homoserine kinase [Xanthomonas axonopodis pv. citri str. 306]
1784	0.413333	>gi|21242566|ref|NP_642148.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1785	0.414860	>gi|21242567|ref|NP_642149.1| threonine synthase [Xanthomonas axonopodis pv. citri str. 306]
1786	0.515252	>gi|21242568|ref|NP_642150.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1787	0.210274	>gi|21242569|ref|NP_642151.1| fumarate and nitrate reduction regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1788	0.167585	>gi|21242570|ref|NP_642152.1| histidyl-tRNA synthetase [Xanthomonas axonopodis pv. citri str. 306]
1789	0.119732	>gi|21242571|ref|NP_642153.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1790	0.088906	>gi|21242572|ref|NP_642154.1| ATP phosphoribosyltransferase [Xanthomonas axonopodis pv. citri str. 306]
1791	0.253399	>gi|21242573|ref|NP_642155.1| histidinol dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
1792	0.098545	>gi|21242574|ref|NP_642156.1| histidinol-phosphate aminotransferase [Xanthomonas axonopodis pv. citri str. 306]
1793	0.259201	>gi|21242575|ref|NP_642157.1| imidazoleglycerolphosphate dehydratase/histidinol-phosphate phosphatase bifunctional enzyme [Xanthomonas axonopodis pv. citri str. 306]
1794	0.156138	>gi|21242576|ref|NP_642158.1| amidotransferase [Xanthomonas axonopodis pv. citri str. 306]
1795	0.358547	>gi|21242577|ref|NP_642159.1| phosphoribosylformimino-5- aminoimidazole carboxam [Xanthomonas axonopodis pv. citri str. 306]
1796	0.064674	>gi|21242578|ref|NP_642160.1| cyclase [Xanthomonas axonopodis pv. citri str. 306]
1797	0.162423	>gi|21242579|ref|NP_642161.1| phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase bifunctional enzyme [Xanthomonas axonopodis pv. citri str. 306]
1798	0.167137	>gi|21242580|ref|NP_642162.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1799	0.354688	>gi|21242581|ref|NP_642163.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1800	0.117319	>gi|21242582|ref|NP_642164.1| enolase-phosphatase [Xanthomonas axonopodis pv. citri str. 306]
1801	0.239203	>gi|21242583|ref|NP_642165.1| dioxygenase [Xanthomonas axonopodis pv. citri str. 306]
1802	0.084092	>gi|21242584|ref|NP_642166.1| sugar aldolase [Xanthomonas axonopodis pv. citri str. 306]
1803	0.188140	>gi|21242585|ref|NP_642167.1| cationic amino acid transporter [Xanthomonas axonopodis pv. citri str. 306]
1804	0.243331	>gi|21242586|ref|NP_642168.1| cationic amino acid transporter [Xanthomonas axonopodis pv. citri str. 306]
1805	0.039661	>gi|21242587|ref|NP_642169.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1806	0.117194	>gi|21242588|ref|NP_642170.1| D-3-phosphoglycerate dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
1807	0.203547	>gi|21242589|ref|NP_642171.1| oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
1808	0.540971	>gi|21242590|ref|NP_642172.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1809	0.152934	>gi|21242591|ref|NP_642173.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1810	0.373304	>gi|21242592|ref|NP_642174.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1811	0.449170	>gi|21242593|ref|NP_642175.1| elongation factor P [Xanthomonas axonopodis pv. citri str. 306]
1812	0.487374	>gi|21242594|ref|NP_642176.1| 3-hydroxyacyl-CoA dehydrogenase type II [Xanthomonas axonopodis pv. citri str. 306]
1813	0.214987	>gi|21242595|ref|NP_642177.1| hydroxymethylglutaryl-CoA lyase [Xanthomonas axonopodis pv. citri str. 306]
1814	0.730026	>gi|21242596|ref|NP_642178.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1815	0.152407	>gi|21242597|ref|NP_642179.1| enoyl-CoA hydratase [Xanthomonas axonopodis pv. citri str. 306]
1816	0.143074	>gi|21242598|ref|NP_642180.1| ferrous iron transport protein [Xanthomonas axonopodis pv. citri str. 306]
1817	0.280582	>gi|21242599|ref|NP_642181.1| ferrous iron transport protein B [Xanthomonas axonopodis pv. citri str. 306]
1818	0.270881	>gi|21242600|ref|NP_642182.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1819	0.175541	>gi|21242601|ref|NP_642183.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1820	0.311087	>gi|21242602|ref|NP_642184.1| valine-pyruvate aminotransferase [Xanthomonas axonopodis pv. citri str. 306]
1821	0.127106	>gi|21242603|ref|NP_642185.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1822	0.396721	>gi|21242604|ref|NP_642186.1| dihydrodipicolinate reductase [Xanthomonas axonopodis pv. citri str. 306]
1823	0.323334	>gi|21242605|ref|NP_642187.1| carbamoyl-phosphate synthase small chain [Xanthomonas axonopodis pv. citri str. 306]
1824	0.218307	>gi|21242606|ref|NP_642188.1| carbamoyl-phosphate synthase large chain [Xanthomonas axonopodis pv. citri str. 306]
1825	0.106613	>gi|21242607|ref|NP_642189.1| transcriptional elongation factor [Xanthomonas axonopodis pv. citri str. 306]
1826	0.081910	>gi|21242608|ref|NP_642190.1| regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1827	0.128231	>gi|21242609|ref|NP_642191.1| single-stranded-DNA-specific exonuclease [Xanthomonas axonopodis pv. citri str. 306]
1828	0.838804	>gi|21242610|ref|NP_642192.1| wall associated protein [Xanthomonas axonopodis pv. citri str. 306]
1829	0.798439	>gi|21242611|ref|NP_642193.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1830	0.543752	>gi|21242612|ref|NP_642194.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1831	0.027881	>gi|21242613|ref|NP_642195.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1832	0.616309	>gi|21242614|ref|NP_642196.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1833	0.446834	>gi|21242615|ref|NP_642197.1| transposase [Xanthomonas axonopodis pv. citri str. 306]
1834	0.039089	>gi|21242616|ref|NP_642198.1| transposase [Xanthomonas axonopodis pv. citri str. 306]
1835	0.159430	>gi|21242617|ref|NP_642199.1| inner membrane protein [Xanthomonas axonopodis pv. citri str. 306]
1836	0.271076	>gi|21242618|ref|NP_642200.1| regulatory protein [Xanthomonas axonopodis pv. citri str. 306]
1837	0.152451	>gi|21242619|ref|NP_642201.1| peptide chain release factor 2 [Xanthomonas axonopodis pv. citri str. 306]
1838	0.141279	>gi|21242620|ref|NP_642202.1| lysyl-tRNA synthetase heat inducible [Xanthomonas axonopodis pv. citri str. 306]
1839	0.119441	>gi|21242621|ref|NP_642203.1| response regulator [Xanthomonas axonopodis pv. citri str. 306]
1840	0.203421	>gi|21242622|ref|NP_642204.1| RpfC protein [Xanthomonas axonopodis pv. citri str. 306]
1841	0.057047	>gi|21242623|ref|NP_642205.1| RpfF protein [Xanthomonas axonopodis pv. citri str. 306]
1842	0.178373	>gi|21242624|ref|NP_642206.1| RpfB protein [Xanthomonas axonopodis pv. citri str. 306]
1843	0.422379	>gi|21242625|ref|NP_642207.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1844	0.367791	>gi|21242626|ref|NP_642208.1| aconitase [Xanthomonas axonopodis pv. citri str. 306]
1845	0.350269	>gi|21242627|ref|NP_642209.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1846	0.249068	>gi|21242628|ref|NP_642210.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1847	0.131835	>gi|21242629|ref|NP_642211.1| aconitate hydratase 2 [Xanthomonas axonopodis pv. citri str. 306]
1848	0.184457	>gi|21242630|ref|NP_642212.1| beta-ketoadipate enol-lactone hydrolase [Xanthomonas axonopodis pv. citri str. 306]
1849	0.159382	>gi|21242631|ref|NP_642213.1| c-di-GMP phosphodiesterase A [Xanthomonas axonopodis pv. citri str. 306]
1850	0.164644	>gi|21242632|ref|NP_642214.1| glutamate methylesterase [Xanthomonas axonopodis pv. citri str. 306]
1851	0.282878	>gi|21242633|ref|NP_642215.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1852	0.222293	>gi|21242634|ref|NP_642216.1| chemotaxis protein methyltransferase [Xanthomonas axonopodis pv. citri str. 306]
1853	0.310457	>gi|21242635|ref|NP_642217.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1854	0.312346	>gi|21242636|ref|NP_642218.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1855	0.204114	>gi|21242637|ref|NP_642219.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1856	0.467516	>gi|21242638|ref|NP_642220.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1857	0.242851	>gi|21242639|ref|NP_642221.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1858	0.211926	>gi|21242640|ref|NP_642222.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1859	0.263142	>gi|21242641|ref|NP_642223.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1860	0.173796	>gi|21242642|ref|NP_642224.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1861	0.325901	>gi|21242643|ref|NP_642225.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1862	0.354607	>gi|21242644|ref|NP_642226.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1863	0.319483	>gi|21242645|ref|NP_642227.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1864	0.364490	>gi|21242646|ref|NP_642228.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1865	0.106436	>gi|21242647|ref|NP_642229.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1866	0.321199	>gi|21242648|ref|NP_642230.1| chemotaxis response regulator [Xanthomonas axonopodis pv. citri str. 306]
1867	0.248991	>gi|21242649|ref|NP_642231.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1868	0.175346	>gi|21242650|ref|NP_642232.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1869	0.260989	>gi|21242651|ref|NP_642233.1| chromosome partioning protein [Xanthomonas axonopodis pv. citri str. 306]
1870	0.375674	>gi|21242652|ref|NP_642234.1| MotB protein [Xanthomonas axonopodis pv. citri str. 306]
1871	0.359563	>gi|21242653|ref|NP_642235.1| MotA protein [Xanthomonas axonopodis pv. citri str. 306]
1872	0.559179	>gi|21242654|ref|NP_642236.1| TonB-dependent receptor [Xanthomonas axonopodis pv. citri str. 306]
1873	0.087597	>gi|21242655|ref|NP_642237.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1874	0.141777	>gi|21242656|ref|NP_642238.1| serine/threonine kinase [Xanthomonas axonopodis pv. citri str. 306]
1875	0.095530	>gi|21242657|ref|NP_642239.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1876	0.053354	>gi|21242658|ref|NP_642240.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1877	0.221759	>gi|21242659|ref|NP_642241.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1878	0.144941	>gi|21242660|ref|NP_642242.1| ISxac1 transposase [Xanthomonas axonopodis pv. citri str. 306]
1879	0.126528	>gi|21242661|ref|NP_642243.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1880	0.174048	>gi|21242662|ref|NP_642244.1| hemolysin related protein [Xanthomonas axonopodis pv. citri str. 306]
1881	0.183542	>gi|21242663|ref|NP_642245.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1882	0.129769	>gi|21242664|ref|NP_642246.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
1883	0.057175	>gi|21242665|ref|NP_642247.1| ISxac3 transposase [Xanthomonas axonopodis pv. citri str. 306]
1884	0.328910	>gi|21242666|ref|NP_642248.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1885	0.198642	>gi|21242667|ref|NP_642249.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1886	0.169244	>gi|21242668|ref|NP_642250.1| transposase [Xanthomonas axonopodis pv. citri str. 306]
1887	0.157084	>gi|21242669|ref|NP_642251.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
1888	0.214384	>gi|21242670|ref|NP_642252.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1889	0.174119	>gi|21242671|ref|NP_642253.1| Fe-S oxidoreductase [Xanthomonas axonopodis pv. citri str. 306]
1890	0.245765	>gi|21242672|ref|NP_642254.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1891	0.143658	>gi|21242673|ref|NP_642255.1| ISxac1 transposase [Xanthomonas axonopodis pv. citri str. 306]
1892	0.124159	>gi|21242674|ref|NP_642256.1| chemotaxis related protein [Xanthomonas axonopodis pv. citri str. 306]
1893	0.173176	>gi|21242675|ref|NP_642257.1| chemotaxis related protein [Xanthomonas axonopodis pv. citri str. 306]
1894	0.117323	>gi|21242676|ref|NP_642258.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1895	0.153519	>gi|21242677|ref|NP_642259.1| RNA polymerase sigma factor [Xanthomonas axonopodis pv. citri str. 306]
1896	0.250237	>gi|21242678|ref|NP_642260.1| flagellar biosynthesis switch protein [Xanthomonas axonopodis pv. citri str. 306]
1897	0.077392	>gi|21242679|ref|NP_642261.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1898	0.219512	>gi|21242680|ref|NP_642262.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1899	0.090647	>gi|21242681|ref|NP_642263.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1900	0.294121	>gi|21242682|ref|NP_642264.1| GGDEF family protein [Xanthomonas axonopodis pv. citri str. 306]
1901	0.101140	>gi|21242683|ref|NP_642265.1| GGDEF family protein [Xanthomonas axonopodis pv. citri str. 306]
1902	0.115187	>gi|21242684|ref|NP_642266.1| GGDEF family protein [Xanthomonas axonopodis pv. citri str. 306]
1903	0.225236	>gi|21242685|ref|NP_642267.1| flagellar biosynthetic protein [Xanthomonas axonopodis pv. citri str. 306]
1904	0.320278	>gi|21242686|ref|NP_642268.1| flagellar biosynthesis [Xanthomonas axonopodis pv. citri str. 306]
1905	0.281942	>gi|21242687|ref|NP_642269.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1906	0.244641	>gi|21242688|ref|NP_642270.1| flagellar biosynthetic protein [Xanthomonas axonopodis pv. citri str. 306]
1907	0.384223	>gi|21242689|ref|NP_642271.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1908	0.027013	>gi|21242690|ref|NP_642272.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1909	0.150138	>gi|21242691|ref|NP_642273.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1910	0.308975	>gi|21242692|ref|NP_642274.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1911	0.711784	>gi|21242693|ref|NP_642275.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1912	0.103666	>gi|21242694|ref|NP_642276.1| flagellar FliJ protein [Xanthomonas axonopodis pv. citri str. 306]
1913	0.100037	>gi|21242695|ref|NP_642277.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1914	0.075132	>gi|21242696|ref|NP_642278.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1915	0.107623	>gi|21242697|ref|NP_642279.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1916	0.202457	>gi|21242698|ref|NP_642280.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1917	0.763612	>gi|21242699|ref|NP_642281.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1918	0.059253	>gi|21242701|ref|NP_642283.1| O-antigen biosynthesis protein [Xanthomonas axonopodis pv. citri str. 306]
1919	0.223816	>gi|21242702|ref|NP_642284.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1920	0.343400	>gi|21242703|ref|NP_642285.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1921	0.140158	>gi|21242704|ref|NP_642286.1| ring hydroxylating dioxygenase alpha-subunit [Xanthomonas axonopodis pv. citri str. 306]
1922	0.310001	>gi|21242705|ref|NP_642287.1| acetyltransferase [Xanthomonas axonopodis pv. citri str. 306]
1923	0.431831	>gi|21242706|ref|NP_642288.1| short chain dehydrogenase [Xanthomonas axonopodis pv. citri str. 306]
1924	0.326083	>gi|21242707|ref|NP_642289.1| 3-oxoacyl-[ACP] reductase [Xanthomonas axonopodis pv. citri str. 306]
1925	0.105586	>gi|21242708|ref|NP_642290.1| 3-oxoacyl-[ACP] synthase [Xanthomonas axonopodis pv. citri str. 306]
1926	0.398895	>gi|21242709|ref|NP_642291.1| acyl carrier protein [Xanthomonas axonopodis pv. citri str. 306]
1927	0.231347	>gi|21242710|ref|NP_642292.1| nucleotide sugar transaminase [Xanthomonas axonopodis pv. citri str. 306]
1928	0.092366	>gi|21242711|ref|NP_642293.1| transcriptional regulator [Xanthomonas axonopodis pv. citri str. 306]
1929	0.135928	>gi|21242712|ref|NP_642294.1| response regulator [Xanthomonas axonopodis pv. citri str. 306]
1930	0.067567	>gi|21242713|ref|NP_642295.1| RNA polymerase sigma-54 factor [Xanthomonas axonopodis pv. citri str. 306]
1931	0.106781	>gi|21242714|ref|NP_642296.1| response regulator [Xanthomonas axonopodis pv. citri str. 306]
1932	0.226919	>gi|21242715|ref|NP_642297.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1933	0.282979	>gi|21242716|ref|NP_642298.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1934	0.315008	>gi|21242717|ref|NP_642299.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1935	0.816904	>gi|21242718|ref|NP_642300.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1936	0.716577	>gi|21242719|ref|NP_642301.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1937	0.687340	>gi|21242720|ref|NP_642302.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1938	0.782744	>gi|21242721|ref|NP_642303.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1939	0.860902	>gi|21242722|ref|NP_642304.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1940	0.605262	>gi|21242723|ref|NP_642305.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1941	0.624453	>gi|21242724|ref|NP_642306.1| flagellar L-ring protein [Xanthomonas axonopodis pv. citri str. 306]
1942	0.772540	>gi|21242725|ref|NP_642307.1| flagellar biosynthesis cell-distal portion of basal-body rod [Xanthomonas axonopodis pv. citri str. 306]
1943	0.577841	>gi|21242726|ref|NP_642308.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1944	0.792094	>gi|21242727|ref|NP_642309.1| flagellar biosynthesis hook protein [Xanthomonas axonopodis pv. citri str. 306]
1945	0.777137	>gi|21242728|ref|NP_642310.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1946	0.642086	>gi|21242729|ref|NP_642311.1| flagellar biosynthesis cell-proximal portion of basal-body rod [Xanthomonas axonopodis pv. citri str. 306]
1947	0.627000	>gi|21242730|ref|NP_642312.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1948	0.150896	>gi|21242731|ref|NP_642313.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1949	0.138122	>gi|21242732|ref|NP_642314.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1950	0.655399	>gi|21242733|ref|NP_642315.1| flagellar protein [Xanthomonas axonopodis pv. citri str. 306]
1951	0.176369	>gi|21242734|ref|NP_642316.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1952	0.181410	>gi|21242735|ref|NP_642317.1| histidine kinase [Xanthomonas axonopodis pv. citri str. 306]
1953	0.133460	>gi|21242736|ref|NP_642318.1| c-di-GMP phosphodiesterase A [Xanthomonas axonopodis pv. citri str. 306]
1954	0.254453	>gi|21242737|ref|NP_642319.1| HrpX related protein [Xanthomonas axonopodis pv. citri str. 306]
1955	0.098398	>gi|21242738|ref|NP_642320.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1956	0.305301	>gi|21242739|ref|NP_642321.1| hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1957	0.291932	>gi|21242740|ref|NP_642322.1| chemotaxis protein [Xanthomonas axonopodis pv. citri str. 306]
1958	0.227568	>gi|21242741|ref|NP_642323.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1959	0.256830	>gi|21242742|ref|NP_642324.1| tRNA methyltransferase [Xanthomonas axonopodis pv. citri str. 306]
1960	0.217476	>gi|21242743|ref|NP_642325.1| 7,8-dihydro-8-oxoguanine-triphosphatase [Xanthomonas axonopodis pv. citri str. 306]
1961	0.229568	>gi|21242744|ref|NP_642326.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1962	0.146724	>gi|21242745|ref|NP_642327.1| ATP-dependent Clp protease subunit [Xanthomonas axonopodis pv. citri str. 306]
1963	0.170913	>gi|21242746|ref|NP_642328.1| initiation factor IF-1 [Xanthomonas axonopodis pv. citri str. 306]
1964	0.294964	>gi|21242747|ref|NP_642329.1| leucyl-phenylalanyl-tRNA-protein transferase [Xanthomonas axonopodis pv. citri str. 306]
1965	0.291467	>gi|21242748|ref|NP_642330.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1966	0.421754	>gi|21242749|ref|NP_642331.1| thioredoxin reductase [Xanthomonas axonopodis pv. citri str. 306]
1967	0.123394	>gi|21242750|ref|NP_642332.1| cell division protein [Xanthomonas axonopodis pv. citri str. 306]
1968	0.218453	>gi|21242751|ref|NP_642333.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1969	0.361045	>gi|21242752|ref|NP_642334.1| outer-membrane lipoproteins carrier protein precursor [Xanthomonas axonopodis pv. citri str. 306]
1970	0.160264	>gi|21242753|ref|NP_642335.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1971	0.197960	>gi|21242754|ref|NP_642336.1| ATPase [Xanthomonas axonopodis pv. citri str. 306]
1972	0.320611	>gi|21242755|ref|NP_642337.1| conserved hypothetical protein [Xanthomonas axonopodis pv. citri str. 306]
1973	0.344840	>gi|21242756|ref|NP_642338.1| 3-ketoacyl-CoA thiolase [Xanthomonas axonopodis pv. citri str. 306]
